Initializing Trading Engine and Market Generator...
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /order                    --> backend/internal/api.(*Handler).PlaceOrder-fm (4 handlers)
[GIN-debug] POST   /cancel                   --> backend/internal/api.(*Handler).CancelOrder-fm (4 handlers)
[GIN-debug] GET    /portfolio                --> backend/internal/api.(*Handler).GetPortfolio-fm (4 handlers)
[GIN-debug] GET    /ws                       --> main.main.func2 (4 handlers)
Systems running. Listening for trades and updates...
API Server starting on :8080...
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[TRADE] Price: 100.22 | Qty:   0.11 | Buyer: 8870fd50 | Seller: 030aad51 | Time: 12:33:30.252
[TRADE] Price: 100.22 | Qty:   1.95 | Buyer: 8870fd50 | Seller: 9dc02bc9 | Time: 12:33:30.252
[TRADE] Price: 100.22 | Qty:   0.19 | Buyer: 6e96709d | Seller: 9dc02bc9 | Time: 12:33:30.252
[TRADE] Price: 100.22 | Qty:   0.26 | Buyer: 6e96709d | Seller: 4509c4c1 | Time: 12:33:30.352
[TRADE] Price: 100.36 | Qty:   0.29 | Buyer: e15fdb24 | Seller: 9d180233 | Time: 12:33:30.452
[TRADE] Price: 100.22 | Qty:   0.29 | Buyer: 6e96709d | Seller: 9d180233 | Time: 12:33:30.452
[TRADE] Price: 100.44 | Qty:   0.40 | Buyer: a09c0b87 | Seller: fb036d9d | Time: 12:33:30.551
[TRADE] Price: 100.44 | Qty:   1.28 | Buyer: a09c0b87 | Seller: 3e1b3556 | Time: 12:33:30.551
[TRADE] Price: 100.38 | Qty:   0.64 | Buyer: 81c8304e | Seller: 3e1b3556 | Time: 12:33:30.551
[TRADE] Price: 100.24 | Qty:   0.47 | Buyer: 439a5128 | Seller: 3e1b3556 | Time: 12:33:30.551
[TRADE] Price: 100.52 | Qty:   1.05 | Buyer: 9414cf30 | Seller: d2ab2b57 | Time: 12:33:30.852
[TRADE] Price: 100.24 | Qty:   1.39 | Buyer: 439a5128 | Seller: d2ab2b57 | Time: 12:33:30.852
[TRADE] Price: 100.39 | Qty:   1.68 | Buyer: 3c2af58f | Seller: 9786b564 | Time: 12:33:30.952
